TF	query_overlap	counts	region	enriched
ARID3A	8	10.0	DOWN	True
ARNT	7	18.0	DOWN	True
ASH2L	10	0.0	DOWN	False
ATF2	9	0.0	DOWN	False
ATF3	1	1.0	DOWN	False
ATF7	15	0.0	DOWN	False
BACH1	9	0.0	DOWN	False
BATF3	3	16.0	DOWN	True
BCL11A	14	1.0	DOWN	False
BCL3	6	0.0	DOWN	False
BHLHE40	13	0.0	DOWN	False
CBFB	7	1.0	DOWN	False
CBX5	4	16.0	DOWN	True
CEBPB	4	15.0	DOWN	True
CHD2	4	17.0	DOWN	True
CREB1	9	0.0	DOWN	False
CREM	11	4.0	DOWN	False
CTCF	8	0.0	DOWN	False
DPF2	10	0.0	DOWN	False
DRAP1	4	0.0	DOWN	False
E2F8	8	7.0	DOWN	False
E4F1	1	2.0	DOWN	False
EBF1	8	6.0	DOWN	False
EGR1	5	0.0	DOWN	False
ELF1	11	0.0	DOWN	False
EP300	6	15.0	DOWN	True
ETV6	7	0.0	DOWN	False
FOXK2	1	1.0	DOWN	False
FOXM1	7	8.0	DOWN	False
GABPA	2	0.0	DOWN	False
GATAD2B	4	0.0	DOWN	False
GTF2F1	2	0.0	DOWN	False
HCFC1	5	0.0	DOWN	False
HDAC2	2	3.0	DOWN	False
HDAC6	1	0.0	DOWN	False
IKZF2	11	0.0	DOWN	False
IRF4	12	1.0	DOWN	False
JUNB	9	0.0	DOWN	False
JUND	3	17.0	DOWN	True
KLF5	1	0.0	DOWN	False
MAFF	5	11.0	DOWN	True
MAFK	1	11.0	DOWN	True
MED1	8	6.0	DOWN	False
MEF2A	7	1.0	DOWN	False
MEF2B	10	0.0	DOWN	False
MEF2C	5	15.0	DOWN	True
MLLT1	20	3.0	DOWN	False
MTA2	8	0.0	DOWN	False
MTA3	6	0.0	DOWN	False
MXI1	1	2.0	DOWN	False
MYB	3	12.0	DOWN	True
MYC	1	0.0	DOWN	False
NBN	15	2.0	DOWN	False
NFATC1	9	20.0	DOWN	True
NFATC3	17	12.0	DOWN	True
NFIC	9	0.0	DOWN	False
NFYB	2	0.0	DOWN	False
NIPBL	7	20.0	DOWN	True
NR2F1	8	0.0	DOWN	False
NR3C1	5	1.0	DOWN	False
NRF1	1	0.0	DOWN	False
PAX5	14	0.0	DOWN	False
PBX3	8	0.0	DOWN	False
PKNOX1	11	0.0	DOWN	False
PML	6	0.0	DOWN	False
RAD21	10	0.0	DOWN	False
RAD51	10	19.0	DOWN	True
RB1	5	0.0	DOWN	False
RELA	6	0.0	DOWN	False
RELB	17	1.0	DOWN	False
REST	6	0.0	DOWN	False
RNF2	3	0.0	DOWN	False
RXRA	5	8.0	DOWN	False
SKIL	15	19.0	DOWN	True
SMAD1	6	10.0	DOWN	True
SMAD5	2	0.0	DOWN	False
SMARCA5	6	0.0	DOWN	False
SMC3	3	1.0	DOWN	False
SP1	12	1.0	DOWN	False
SRF	5	0.0	DOWN	False
STAT5A	4	6.0	DOWN	False
TAF1	3	0.0	DOWN	False
TARDBP	15	0.0	DOWN	False
TBP	2	12.0	DOWN	True
TBX21	15	0.0	DOWN	False
TCF12	17	0.0	DOWN	False
TCF3	8	0.0	DOWN	False
TRIM22	15	0.0	DOWN	False
TSC22D4	1	1.0	DOWN	False
UBTF	2	5.0	DOWN	False
USF1	3	3.0	DOWN	False
USF2	8	1.0	DOWN	False
ZBED1	3	0.0	DOWN	False
ZBTB2	12	0.0	DOWN	False
ZBTB33	4	0.0	DOWN	False
ZBTB40	9	0.0	DOWN	False
ZEB1	6	0.0	DOWN	False
ZFP36	6	0.0	DOWN	False
ZNF143	2	0.0	DOWN	False
ZNF18	3	6.0	DOWN	False
ZNF207	6	0.0	DOWN	False
ZNF217	5	6.0	DOWN	False
ZNF24	5	2.0	DOWN	False
ZNF384	1	0.0	DOWN	False
ZNF592	3	4.0	DOWN	False
ZNF597	1	0.0	DOWN	False
ZNF687	5	0.0	DOWN	False
