TF	query_overlap	counts	region	enriched
ARID3A	5	0.0	UP	False
ARNT	2	0.0	UP	False
ASH2L	5	0.0	UP	False
ATF2	5	0.0	UP	False
ATF7	14	0.0	UP	False
BACH1	4	0.0	UP	False
BATF	3	0.0	UP	False
BATF3	3	13.0	UP	True
BCL11A	11	0.0	UP	False
BCL3	7	0.0	UP	False
BCLAF1	1	5.0	UP	False
BHLHE40	11	0.0	UP	False
BMI1	3	1.0	UP	False
CBFB	5	0.0	UP	False
CEBPB	1	2.0	UP	False
CHD1	1	10.0	UP	True
CHD2	1	0.0	UP	False
CREB1	9	0.0	UP	False
CREM	13	14.0	UP	True
CTCF	11	0.0	UP	False
DPF2	7	0.0	UP	False
DRAP1	2	0.0	UP	False
E2F8	6	2.0	UP	False
E4F1	2	10.0	UP	True
EBF1	5	1.0	UP	False
EGR1	7	0.0	UP	False
ELF1	13	0.0	UP	False
EP300	2	0.0	UP	False
ETS1	2	2.0	UP	False
ETV6	7	0.0	UP	False
FOXK2	2	6.0	UP	False
FOXM1	4	0.0	UP	False
GABPA	4	4.0	UP	False
GATAD2B	4	0.0	UP	False
GTF2F1	3	0.0	UP	False
HCFC1	7	1.0	UP	False
HDAC2	2	13.0	UP	True
HDAC6	2	5.0	UP	False
HSF1	1	0.0	UP	False
IKZF2	7	0.0	UP	False
IRF3	1	3.0	UP	False
IRF4	10	0.0	UP	False
IRF5	1	13.0	UP	True
JUNB	8	0.0	UP	False
JUND	3	8.0	UP	False
KLF5	1	1.0	UP	False
MAFF	2	6.0	UP	False
MAZ	1	2.0	UP	False
MED1	6	0.0	UP	False
MEF2A	8	1.0	UP	False
MEF2B	9	0.0	UP	False
MEF2C	2	3.0	UP	False
MLLT1	14	0.0	UP	False
MTA2	11	0.0	UP	False
MTA3	8	15.0	UP	True
MXI1	3	20.0	UP	True
MYB	2	1.0	UP	False
MYC	1	2.0	UP	False
NBN	14	2.0	UP	False
NFATC1	8	20.0	UP	True
NFATC3	11	0.0	UP	False
NFIC	8	0.0	UP	False
NFYB	2	0.0	UP	False
NIPBL	3	0.0	UP	False
NR2C1	2	3.0	UP	False
NR2F1	4	0.0	UP	False
NR3C1	3	0.0	UP	False
NRF1	1	2.0	UP	False
PAX5	12	0.0	UP	False
PBX3	7	0.0	UP	False
PKNOX1	11	0.0	UP	False
PML	4	5.0	UP	False
RAD21	9	0.0	UP	False
RAD51	9	13.0	UP	True
RB1	8	1.0	UP	False
RBBP5	1	20.0	UP	True
RELA	7	0.0	UP	False
RELB	16	1.0	UP	False
REST	5	0.0	UP	False
RNF2	6	14.0	UP	True
RXRA	4	16.0	UP	True
SIN3A	1	13.0	UP	True
SIX5	3	7.0	UP	False
SKIL	13	0.0	UP	False
SMAD1	4	1.0	UP	False
SMAD5	7	20.0	UP	True
SMARCA5	4	0.0	UP	False
SMC3	3	0.0	UP	False
SP1	5	0.0	UP	False
SREBF1	2	13.0	UP	True
SRF	6	0.0	UP	False
STAT1	1	12.0	UP	True
STAT2	1	4.0	UP	False
STAT5A	2	0.0	UP	False
SUZ12	3	7.0	UP	False
TAF1	6	0.0	UP	False
TARDBP	18	0.0	UP	False
TBP	2	9.0	UP	False
TBX21	14	0.0	UP	False
TCF12	7	0.0	UP	False
TCF3	7	0.0	UP	False
TCF7	1	0.0	UP	False
TRIM22	22	2.0	UP	False
USF1	2	1.0	UP	False
USF2	5	0.0	UP	False
YY1	1	9.0	UP	False
ZBED1	5	8.0	UP	False
ZBTB2	16	0.0	UP	False
ZBTB33	4	3.0	UP	False
ZBTB40	8	9.0	UP	False
ZEB1	7	0.0	UP	False
ZFP36	9	16.0	UP	True
ZMYM3	2	0.0	UP	False
ZNF143	11	0.0	UP	False
ZNF18	1	5.0	UP	False
ZNF207	4	0.0	UP	False
ZNF217	3	4.0	UP	False
ZNF24	1	0.0	UP	False
ZNF592	1	7.0	UP	False
ZNF687	3	0.0	UP	False
